,station,period,red_deer,fallow_deer,cat,vehicles,pedestrian,humanG,forestG
CT01_day,CT01,day,1,18,2,13,10,-0.180122152,1.202036073
CT01_night,CT01,night,0,39,0,65,22,-0.180122152,1.202036073
CT02_day,CT02,day,1,2,6,15,29,-1.556839705,0.883469395
CT02_night,CT02,night,1,5,2,4,12,-1.556839705,0.883469395
CT03_day,CT03,day,4,0,16,170,13,1.609227098,-0.072936041
CT03_night,CT03,night,2,0,28,142,11,1.609227098,-0.072936041
CT04_day,CT04,day,7,0,0,34,13,-2.260821697,-1.493370548
CT04_night,CT04,night,5,0,0,6,1,-2.260821697,-1.493370548
CT05_day,CT05,day,0,1,1,224,18,-2.759112779,-0.138382101
CT05_night,CT05,night,0,0,0,45,3,-2.759112779,-0.138382101
CT06_day,CT06,day,3,0,0,16,11,-1.975446554,0.007969507
CT06_night,CT06,night,5,0,5,10,19,-1.975446554,0.007969507
CT07_day,CT07,day,1,1,0,155,29,-1.698586615,-0.020194669
CT07_night,CT07,night,3,1,0,59,3,-1.698586615,-0.020194669
CT08_day,CT08,day,4,0,0,312,26,-0.609447794,0.845716034
CT08_night,CT08,night,7,0,1,198,7,-0.609447794,0.845716034
CT09_day,CT09,day,1,0,0,14,20,2.437873983,0.621010564
CT09_night,CT09,night,0,0,0,8,6,2.437873983,0.621010564
CT10_day,CT10,day,0,0,6,32,3,-0.927213998,-0.95443432
CT10_night,CT10,night,1,0,2,17,1,-0.927213998,-0.95443432
CT11_day,CT11,day,1,1,0,10,12,0.618715755,-2.438211736
CT11_night,CT11,night,4,0,0,11,1,0.618715755,-2.438211736
CT12_day,CT12,day,0,1,6,38,49,1.248804974,0.821065128
CT12_night,CT12,night,0,0,1,17,27,1.248804974,0.821065128
CT13_day,CT13,day,0,31,2,1,18,0.148309314,0.808155568
CT13_night,CT13,night,0,23,2,0,5,0.148309314,0.808155568
CT14_day,CT14,day,2,2,1,83,2,-1.35320536,-0.255769028
CT14_night,CT14,night,1,0,2,23,2,-1.35320536,-0.255769028
CT15_day,CT15,day,0,1,0,12,9,-2.063895426,-1.114966422
CT15_night,CT15,night,0,0,0,1,2,-2.063895426,-1.114966422
CT16_day,CT16,day,5,8,0,172,13,0.283758474,-0.230273053
CT16_night,CT16,night,6,8,0,76,6,0.283758474,-0.230273053
CT17_day,CT17,day,1,0,2,77,6,-2.91938081,-0.021154042
CT17_night,CT17,night,4,0,2,25,3,-2.91938081,-0.021154042
CT18_day,CT18,day,0,0,10,147,28,0.16956475,0.027738009
CT18_night,CT18,night,0,0,3,155,30,0.16956475,0.027738009
CT19_day,CT19,day,1,2,1,47,52,-3.378975574,-0.09835296
CT19_night,CT19,night,9,1,2,20,25,-3.378975574,-0.09835296
CT20_day,CT20,day,3,0,0,35,57,-2.577645241,-0.807116399
CT20_night,CT20,night,0,0,0,11,14,-2.577645241,-0.807116399
CT21_day,CT21,day,0,0,1,91,29,-0.39756892,-0.599275284
CT21_night,CT21,night,0,0,4,13,19,-0.39756892,-0.599275284
CT22_day,CT22,day,4,0,1,182,18,1.819989646,1.300173819
CT22_night,CT22,night,11,0,5,72,8,1.819989646,1.300173819
CT23_day,CT23,day,1,0,1,162,37,-1.153265057,-0.820745336
CT23_night,CT23,night,0,0,1,49,13,-1.153265057,-0.820745336
CT24_day,CT24,day,1,1,3,153,10,-0.555963685,-1.002500538
CT24_night,CT24,night,1,0,8,40,2,-0.555963685,-1.002500538
CT25_day,CT25,day,0,0,2,18,66,0.683740231,0.747544552
CT25_night,CT25,night,1,1,2,6,24,0.683740231,0.747544552
CT26_day,CT26,day,3,6,0,20,9,0.880966461,2.553847524
CT26_night,CT26,night,3,4,0,6,5,0.880966461,2.553847524
CT27_day,CT27,day,1,9,0,246,23,1.565545974,0.251515397
CT27_night,CT27,night,0,6,0,122,17,1.565545974,0.251515397
CT28_day,CT28,day,0,8,0,35,10,-0.147729286,0.585150387
CT28_night,CT28,night,1,13,0,35,5,-0.147729286,0.585150387
CT29_day,CT29,day,0,64,0,3,35,-1.308210856,-0.501399378
CT29_night,CT29,night,0,90,0,1,5,-1.308210856,-0.501399378
CT30_day,CT30,day,5,0,14,30,39,1.432786037,0.240785545
CT30_night,CT30,night,3,0,7,25,31,1.432786037,0.240785545
CT31_day,CT31,day,0,0,0,4,6,2.296292138,-0.171807616
CT31_night,CT31,night,7,1,1,3,4,2.296292138,-0.171807616
CT32_day,CT32,day,2,1,0,12,24,0.988596885,0.204143901
CT32_night,CT32,night,7,0,0,6,6,0.988596885,0.204143901
CT33_day,CT33,day,6,0,1,38,37,-0.834882834,1.590230486
CT33_night,CT33,night,9,1,0,3,16,-0.834882834,1.590230486
CT34_day,CT34,day,0,0,1,4,32,0.533920156,1.462576279
CT34_night,CT34,night,0,0,1,2,6,0.533920156,1.462576279
CT35_day,CT35,day,0,0,0,99,25,3.231633249,1.310080793
CT35_night,CT35,night,0,0,2,55,12,3.231633249,1.310080793
CT36_day,CT36,day,2,0,9,184,23,1.22755004,0.35607944
CT36_night,CT36,night,5,1,16,61,7,1.22755004,0.35607944
CT37_day,CT37,day,2,0,0,3,7,1.598906093,0.296418182
CT37_night,CT37,night,4,0,0,1,5,1.598906093,0.296418182
CT38_day,CT38,day,0,0,28,483,25,1.026579103,0.86166324
CT38_night,CT38,night,0,0,39,273,33,1.026579103,0.86166324
CT39_day,CT39,day,0,0,0,48,46,-1.905845429,-0.679031826
CT39_night,CT39,night,0,0,0,13,15,-1.905845429,-0.679031826
CT40_day,CT40,day,3,1,12,21,10,1.361108347,2.791863367
CT40_night,CT40,night,9,1,17,12,2,1.361108347,2.791863367
CT41_day,CT41,day,1,0,0,10,17,-1.817963351,0.163709284
CT41_night,CT41,night,1,0,0,9,4,-1.817963351,0.163709284
CT42_day,CT42,day,6,0,0,38,204,-0.157286578,0.166641097
CT42_night,CT42,night,9,0,0,8,132,-0.157286578,0.166641097
CT43_day,CT43,day,0,0,13,251,28,1.857209655,1.111143852
CT43_night,CT43,night,0,0,45,150,11,1.857209655,1.111143852
CT44_day,CT44,day,1,0,0,42,26,3.666245882,-6.00664333
CT44_night,CT44,night,1,0,0,17,17,3.666245882,-6.00664333
CT45_day,CT45,day,0,0,10,7,88,2.214079726,-0.14286996
CT45_night,CT45,night,1,0,6,8,35,2.214079726,-0.14286996
CT46_day,CT46,day,9,0,0,12,12,-3.169394231,-0.414649052
CT46_night,CT46,night,8,0,0,6,2,-3.169394231,-0.414649052
CT47_day,CT47,day,0,0,0,123,15,2.134884767,-3.936206368
CT47_night,CT47,night,2,0,4,50,2,2.134884767,-3.936206368
CT48_day,CT48,day,1,0,17,52,26,0.672515195,0.709562583
CT48_night,CT48,night,0,0,15,17,11,0.672515195,0.709562583
