,station,period,wolf,fox,badger,marten
CT574_day,CT574,day,0,19,2,1
CT574_night,CT574,night,0,3,1,2
CT319_day,CT319,day,0,12,4,1
CT319_night,CT319,night,0,38,4,0
CT925_day,CT925,day,1,33,0,1
CT925_night,CT925,night,3,77,4,3
CT791_day,CT791,day,3,1,0,0
CT791_night,CT791,night,1,0,0,0
CT554_day,CT554,day,8,26,1,6
CT554_night,CT554,night,7,78,0,27
CT285_day,CT285,day,12,18,13,1
CT285_night,CT285,night,20,37,35,5
CT526_day,CT526,day,3,10,0,3
CT526_night,CT526,night,4,41,0,7
CT917_day,CT917,day,2,14,0,0
CT917_night,CT917,night,5,33,0,0
CT365_day,CT365,day,0,0,0,0
CT365_night,CT365,night,0,1,0,0
CT357_day,CT357,day,1,12,0,1
CT357_night,CT357,night,0,19,0,4
CT737_day,CT737,day,5,14,0,1
CT737_night,CT737,night,13,32,1,2
CT801_day,CT801,day,1,23,4,15
CT801_night,CT801,night,0,54,7,57
CT961_day,CT961,day,1,14,0,0
CT961_night,CT961,night,2,27,0,2
CT181_day,CT181,day,27,39,7,0
CT181_night,CT181,night,27,150,3,1
CT148_day,CT148,day,2,0,0,0
CT148_night,CT148,night,0,3,0,0
CT153_day,CT153,day,3,0,0,2
CT153_night,CT153,night,7,0,1,0
CT728_day,CT728,day,3,13,1,1
CT728_night,CT728,night,0,36,1,1
CT271_day,CT271,day,0,60,3,2
CT271_night,CT271,night,1,46,1,2
CT121_day,CT121,day,1,33,0,2
CT121_night,CT121,night,6,86,3,5
CT384_day,CT384,day,0,1,0,0
CT384_night,CT384,night,1,1,0,0
CT332_day,CT332,day,1,3,0,1
CT332_night,CT332,night,0,6,1,1
CT569_day,CT569,day,1,24,1,0
CT569_night,CT569,night,1,53,9,0
CT898_day,CT898,day,0,8,1,0
CT898_night,CT898,night,1,26,2,0
CT518_day,CT518,day,1,15,1,0
CT518_night,CT518,night,1,59,0,1
CT175_day,CT175,day,7,42,0,0
CT175_night,CT175,night,14,56,0,1
CT112_day,CT112,day,4,9,1,0
CT112_night,CT112,night,6,15,4,5
CT594_day,CT594,day,4,0,0,0
CT594_night,CT594,night,8,0,0,0
CT869_day,CT869,day,2,3,1,0
CT869_night,CT869,night,4,9,2,0
CT155_day,CT155,day,1,2,0,0
CT155_night,CT155,night,1,8,0,0
CT178_day,CT178,day,0,24,0,1
CT178_night,CT178,night,3,17,3,1
CT763_day,CT763,day,0,2,0,1
CT763_night,CT763,night,0,4,0,3
CT619_day,CT619,day,1,0,0,0
CT619_night,CT619,night,1,3,0,0
CT516_day,CT516,day,2,2,0,0
CT516_night,CT516,night,1,0,0,0
CT634_day,CT634,day,0,9,0,0
CT634_night,CT634,night,0,30,0,2
CT915_day,CT915,day,0,12,1,0
CT915_night,CT915,night,0,15,2,0
CT145_day,CT145,day,0,14,0,0
CT145_night,CT145,night,0,37,8,0
CT414_day,CT414,day,3,2,0,0
CT414_night,CT414,night,1,7,3,0
CT950_day,CT950,day,0,80,0,0
CT950_night,CT950,night,0,178,3,4
CT988_day,CT988,day,1,18,4,0
CT988_night,CT988,night,0,93,15,1
CT672_day,CT672,day,2,26,1,2
CT672_night,CT672,night,0,46,2,2
CT510_day,CT510,day,0,6,0,0
CT510_night,CT510,night,0,30,5,1
CT169_day,CT169,day,1,0,0,0
CT169_night,CT169,night,0,0,0,0
CT334_day,CT334,day,13,5,3,3
CT334_night,CT334,night,21,15,5,16
CT911_day,CT911,day,5,51,0,1
CT911_night,CT911,night,12,72,0,1
CT423_day,CT423,day,0,9,1,2
CT423_night,CT423,night,1,20,3,4
CT429_day,CT429,day,0,11,0,0
CT429_night,CT429,night,0,10,0,2
CT478_day,CT478,day,5,12,4,0
CT478_night,CT478,night,5,39,7,0
CT780_day,CT780,day,4,19,1,0
CT780_night,CT780,night,1,38,1,8
